ServerName,DatabaseName,Size_Used,Year,Month,Growth%
Server1,DB1,600.00,2021,1,0.857100
Server1,DB1,504.00,2021,2,0.720000
Server1,DB1,558.00,2021,3,0.797100
Server1,DB1,1068.00,2021,4,1.525700
Server1,DB1,1140.00,2021,5,1.628500
Server1,DB1,540.00,2021,6,0.771400
Server1,DB1,1212.00,2021,7,1.731400
Server1,DB1,1212.00,2021,8,1.731400
Server1,DB1,540.00,2021,9,0.771400
Server1,DB1,558.00,2021,10,0.797100
Server1,DB1,540.00,2021,11,0.771400
Server1,DB1,606.00,2021,12,0.865700
Server1,DB1,1588.50,2022,1,2.269200
Server1,DB1,1050.00,2022,2,1.500000
Server1,DB1,1162.50,2022,3,1.660700
Server1,DB1,1863.00,2022,4,2.661400
Server1,DB1,1912.50,2022,5,2.732100
Server1,DB1,1125.00,2022,6,1.607100
Server1,DB1,2140.50,2022,7,3.057800
Server1,DB1,2056.50,2022,8,2.937800
Server1,DB1,1125.00,2022,9,1.607100
Server1,DB1,1162.50,2022,10,1.660700
Server1,DB1,1125.00,2022,11,1.607100
Server1,DB1,1564.50,2022,12,2.235000
Server1,DB1,412.50,2023,1,0.589200
Server1,DB1,336.00,2023,2,0.480000
Server1,DB1,372.00,2023,3,0.531400
Server1,DB1,510.00,2023,4,0.728500
Server1,DB1,502.50,2023,5,0.717800
Server1,DB1,360.00,2023,6,0.514200
Server1,DB1,570.00,2023,7,0.814200
Server1,DB1,549.00,2023,8,0.784200
Server1,DB1,360.00,2023,9,0.514200
Server1,DB1,372.00,2023,10,0.531400
Server1,DB1,360.00,2023,11,0.514200
Server1,DB1,417.00,2023,12,0.595700
Server1,DB1,1150.77,2024,1,1.643900
Server1,DB1,933.51,2024,2,1.333500
Server1,DB1,997.89,2024,3,1.425500
Server1,DB1,1064.82,2024,4,1.521100
Server1,DB1,1093.17,2024,5,1.561600
Server1,DB1,965.70,2024,6,1.379500
Server1,DB1,1211.97,2024,7,1.731300
Server1,DB1,1238.73,2024,8,1.769600
Server1,DB1,965.70,2024,9,1.379500
Server1,DB1,997.89,2024,10,1.425500
Server1,DB1,965.70,2024,11,1.379500
Server1,DB1,1169.88,2024,12,1.671200
Server1,DB1,3125.40,2025,1,4.464800
