ServerName,DatabaseName,Size_Used,Year,Month,Growth%
Server1,DB1,799.80,2021,1,0.695400
Server1,DB1,224.00,2021,2,0.194700
Server1,DB1,248.00,2021,3,0.215600
Server1,DB1,474.76,2021,4,0.412800
Server1,DB1,506.74,2021,5,0.440600
Server1,DB1,240.00,2021,6,0.208600
Server1,DB1,1615.56,2021,7,1.404800
Server1,DB1,1615.56,2021,8,1.404800
Server1,DB1,240.00,2021,9,0.208600
Server1,DB1,744.00,2021,10,0.646900
Server1,DB1,240.00,2021,11,0.208600
Server1,DB1,269.28,2021,12,0.234100
Server1,DB1,2118.42,2022,1,1.842100
Server1,DB1,466.48,2022,2,0.405600
Server1,DB1,516.46,2022,3,0.449000
Server1,DB1,827.94,2022,4,0.719900
Server1,DB1,849.94,2022,5,0.739000
Server1,DB1,499.80,2022,6,0.434600
Server1,DB1,2853.78,2022,7,2.481500
Server1,DB1,2741.70,2022,8,2.384000
Server1,DB1,499.80,2022,9,0.434600
Server1,DB1,1549.38,2022,10,1.347200
Server1,DB1,499.80,2022,11,0.434600
Server1,DB1,695.48,2022,12,0.604700
Server1,DB1,550.62,2023,1,0.478800
Server1,DB1,149.52,2023,2,0.130000
Server1,DB1,165.54,2023,3,0.143900
Server1,DB1,226.60,2023,4,0.197000
Server1,DB1,223.28,2023,5,0.194100
Server1,DB1,160.20,2023,6,0.139300
Server1,DB1,759.78,2023,7,0.660600
Server1,DB1,731.70,2023,8,0.636200
Server1,DB1,160.20,2023,9,0.139300
Server1,DB1,496.62,2023,10,0.431800
Server1,DB1,160.20,2023,11,0.139300
Server1,DB1,185.54,2023,12,0.161300
Server1,DB1,1533.90,2024,1,1.333800
Server1,DB1,414.70,2024,2,0.360600
Server1,DB1,443.30,2024,3,0.385400
Server1,DB1,473.20,2024,4,0.411400
Server1,DB1,485.80,2024,5,0.422400
Server1,DB1,429.00,2024,6,0.373000
Server1,DB1,1615.50,2024,7,1.404700
Server1,DB1,1651.20,2024,8,1.435800
Server1,DB1,429.00,2024,9,0.373000
Server1,DB1,1329.90,2024,10,1.156400
Server1,DB1,429.00,2024,11,0.373000
Server1,DB1,519.80,2024,12,0.452000
Server1,DB1,4167.36,2025,1,3.623700
Server1,DB1,1187.20,2025,2,1.032300
Server1,DB1,1314.40,2025,3,1.142900
Server1,DB1,1226.72,2025,4,1.066700
Server1,DB1,1274.46,2025,5,1.108200
Server1,DB1,1272.00,2025,6,1.106000
Server1,DB1,3919.50,2025,7,3.408200
Server1,DB1,2194.50,2025,8,1.908200
