ServerName,DatabaseName,Size_Used,Year,Month,Growth%
Server1,DB1,266.60,2021,1,0.296200
Server1,DB1,224.00,2021,2,0.248800
Server1,DB1,248.00,2021,3,0.275500
Server1,DB1,474.76,2021,4,0.527500
Server1,DB1,506.74,2021,5,0.563000
Server1,DB1,240.00,2021,6,0.266600
Server1,DB1,538.52,2021,7,0.598300
Server1,DB1,538.52,2021,8,0.598300
Server1,DB1,240.00,2021,9,0.266600
Server1,DB1,248.00,2021,10,0.275500
Server1,DB1,240.00,2021,11,0.266600
Server1,DB1,269.28,2021,12,0.299200
Server1,DB1,706.14,2022,1,0.784600
Server1,DB1,466.48,2022,2,0.518300
Server1,DB1,516.46,2022,3,0.573800
Server1,DB1,827.94,2022,4,0.919900
Server1,DB1,849.94,2022,5,0.944300
Server1,DB1,499.80,2022,6,0.555300
Server1,DB1,951.26,2022,7,1.056900
Server1,DB1,913.90,2022,8,1.015400
Server1,DB1,499.80,2022,9,0.555300
Server1,DB1,516.46,2022,10,0.573800
Server1,DB1,499.80,2022,11,0.555300
Server1,DB1,695.48,2022,12,0.772700
Server1,DB1,183.54,2023,1,0.203900
Server1,DB1,149.52,2023,2,0.166100
Server1,DB1,165.54,2023,3,0.183900
Server1,DB1,226.60,2023,4,0.251700
Server1,DB1,223.28,2023,5,0.248000
Server1,DB1,160.20,2023,6,0.178000
Server1,DB1,253.26,2023,7,0.281400
Server1,DB1,243.90,2023,8,0.271000
Server1,DB1,160.20,2023,9,0.178000
Server1,DB1,165.54,2023,10,0.183900
Server1,DB1,160.20,2023,11,0.178000
Server1,DB1,185.54,2023,12,0.206100
Server1,DB1,511.30,2024,1,0.568100
Server1,DB1,414.70,2024,2,0.460700
Server1,DB1,443.30,2024,3,0.492500
Server1,DB1,473.20,2024,4,0.525700
Server1,DB1,485.80,2024,5,0.539700
Server1,DB1,429.00,2024,6,0.476600
Server1,DB1,538.50,2024,7,0.598300
Server1,DB1,550.40,2024,8,0.611500
Server1,DB1,429.00,2024,9,0.476600
Server1,DB1,443.30,2024,10,0.492500
Server1,DB1,429.00,2024,11,0.476600
Server1,DB1,519.80,2024,12,0.577500
Server1,DB1,1389.12,2025,1,1.543400
Server1,DB1,1187.20,2025,2,1.319100
Server1,DB1,1314.40,2025,3,1.460400
Server1,DB1,1226.72,2025,4,1.363000
