ServerName,DatabaseName,Size_Used,Year,Month,Growth%
Server1,DB1,200.00,2021,1,0.285700
Server1,DB1,168.00,2021,2,0.240000
Server1,DB1,186.00,2021,3,0.265700
Server1,DB1,356.00,2021,4,0.508500
Server1,DB1,380.00,2021,5,0.542800
Server1,DB1,180.00,2021,6,0.257100
Server1,DB1,404.00,2021,7,0.577100
Server1,DB1,404.00,2021,8,0.577100
Server1,DB1,180.00,2021,9,0.257100
Server1,DB1,186.00,2021,10,0.265700
Server1,DB1,180.00,2021,11,0.257100
Server1,DB1,202.00,2021,12,0.288500
Server1,DB1,529.50,2022,1,0.756400
Server1,DB1,350.00,2022,2,0.500000
Server1,DB1,387.50,2022,3,0.553500
Server1,DB1,621.00,2022,4,0.887100
Server1,DB1,637.50,2022,5,0.910700
Server1,DB1,375.00,2022,6,0.535700
Server1,DB1,713.50,2022,7,1.019200
Server1,DB1,685.50,2022,8,0.979200
Server1,DB1,375.00,2022,9,0.535700
Server1,DB1,387.50,2022,10,0.553500
Server1,DB1,375.00,2022,11,0.535700
Server1,DB1,521.50,2022,12,0.745000
Server1,DB1,137.50,2023,1,0.196400
Server1,DB1,112.00,2023,2,0.160000
Server1,DB1,124.00,2023,3,0.177100
Server1,DB1,170.00,2023,4,0.242800
Server1,DB1,167.50,2023,5,0.239200
Server1,DB1,120.00,2023,6,0.171400
Server1,DB1,190.00,2023,7,0.271400
Server1,DB1,183.00,2023,8,0.261400
Server1,DB1,120.00,2023,9,0.171400
Server1,DB1,124.00,2023,10,0.177100
Server1,DB1,120.00,2023,11,0.171400
Server1,DB1,139.00,2023,12,0.198500
Server1,DB1,383.59,2024,1,0.547900
Server1,DB1,311.17,2024,2,0.444500
Server1,DB1,332.63,2024,3,0.475100
Server1,DB1,354.94,2024,4,0.507000
Server1,DB1,364.39,2024,5,0.520500
Server1,DB1,321.90,2024,6,0.459800
Server1,DB1,403.99,2024,7,0.577100
Server1,DB1,412.91,2024,8,0.589800
Server1,DB1,321.90,2024,9,0.459800
Server1,DB1,332.63,2024,10,0.475100
Server1,DB1,321.90,2024,11,0.459800
Server1,DB1,389.96,2024,12,0.557000
Server1,DB1,1041.80,2025,1,1.488200
Server1,DB1,890.40,2025,2,1.272000
Server1,DB1,985.80,2025,3,1.408200
Server1,DB1,920.00,2025,4,1.314200
Server1,DB1,955.80,2025,5,1.365400
Server1,DB1,954.00,2025,6,1.362800
Server1,DB1,979.80,2025,7,1.399700
Server1,DB1,548.60,2025,8,0.783700
Server1,DB2,185.00,2021,1,0.264200
Server1,DB2,42.00,2021,2,0.060000
Server1,DB2,46.50,2021,3,0.066400
Server1,DB2,925.00,2021,4,1.321400
Server1,DB2,964.50,2021,5,1.377800
Server1,DB2,45.00,2021,6,0.064200
Server1,DB2,889.50,2021,7,1.270700
Server1,DB2,889.50,2021,8,1.270700
Server1,DB2,45.00,2021,9,0.064200
Server1,DB2,46.50,2021,10,0.066400
Server1,DB2,45.00,2021,11,0.064200
Server1,DB2,186.50,2021,12,0.266400
Server1,DB2,407.50,2022,1,0.582100
Server1,DB2,182.00,2022,2,0.260000
Server1,DB2,201.50,2022,3,0.287800
Server1,DB2,1020.00,2022,4,1.457100
Server1,DB2,1052.50,2022,5,1.503500
Server1,DB2,195.00,2022,6,0.278500
Server1,DB2,993.50,2022,7,1.419200
Server1,DB2,971.50,2022,8,1.387800
Server1,DB2,195.00,2022,9,0.278500
Server1,DB2,201.50,2022,10,0.287800
Server1,DB2,195.00,2022,11,0.278500
Server1,DB2,405.50,2022,12,0.579200
Server1,DB2,547.50,2023,1,0.782100
Server1,DB2,294.00,2023,2,0.420000
